player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0023459,2024,REG,368,584,3897.0,28,11.0,40.0,302.0,5,2,4014.0,2119.0,192.0,10.130993453394488,2,17.796653277127803,1.3670849216482237,22,107.0,0,0.0,0.0,7.0,4.280564359933793,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,256.58,256.58,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17703230435922554
00-0024243,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,2.0,0,0.0,0.0,1.0,1.0,1.0,0.06460474291816354,0,2.0,0.038461538461538464,0.009708737864077669,0.06448842419716207,0.0,0.2,1.2,1,0.034482758620689655,0.009433962264150943,0.006756756756756757,0.059271307742355235,0.008849557522123894,0.0,0.07142857142857142,0.05555555555555555,0.004424778761061947,0.007079646017699115,0.06896551724137931,0.010541110330288123
00-0026158,2024,REG,162,248,1761.0,12,7.0,18.0,123.0,3,3,2215.0,651.0,87.0,2.9993858721668687,0,5.588957026193659,0.7075546323521819,9,26.0,0,1.0,1.0,2.0,-7.002136736351531,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,99.04,99.04,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15615539858728558
00-0026300,2024,REG,2,3,17.0,0,0.0,1.0,5.0,0,0,53.0,2.0,1.0,-1.8097355109639466,0,0.3018867924528302,0.0,4,1.0,0,0.0,0.0,0.0,-3.56283131003147,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.78,0.78,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018420555450595125
00-0026498,2024,REG,340,517,3762.0,20,8.0,28.0,213.0,4,2,3869.0,1726.0,176.0,34.73475009959403,0,16.49477300773636,1.6076459391984972,30,41.0,0,2.0,0.0,10.0,-3.011842658896128,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,214.58,214.58,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16445684329925353
00-0027973,2024,REG,106,160,989.0,7,6.0,7.0,37.0,1,0,1062.0,459.0,50.0,-18.095891326278156,0,4.954892415242316,0.3414501510881374,11,34.0,0,0.0,0.0,2.0,-3.431674593843093,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,58.96,58.96,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13434808367133028
00-0028118,2024,REG,17,22,119.0,3,0.0,0.0,0.0,0,0,88.0,68.0,9.0,11.904086127557093,1,2.6174306734578385,0.5360992998240679,3,13.0,0,1.0,0.0,0.0,-0.6764859651157167,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,20.06,20.06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12882096069868995
00-0028872,2024,REG,0,2,0.0,0,0.0,0.0,0.0,0,0,28.0,0.0,0.0,-5.712034730240703,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0028899,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.10806916426512969
00-0029263,2024,REG,214,336,2482.0,16,5.0,33.0,219.0,3,2,2668.0,1122.0,112.0,-0.9645129991215988,0,10.591329886787014,1.2347437409325086,43,155.0,2,2.0,2.0,16.0,-7.594189534254838,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,172.78,172.78,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19431386221012617
00-0029604,2024,REG,303,453,3508.0,18,16.0,28.0,201.0,7,2,3374.0,1687.0,163.0,22.081388022190346,0,15.40231532876094,1.3462439630467993,23,0.0,0,5.0,0.0,2.0,-16.772096396629887,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,176.32,176.32,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1476296531975819
00-0029692,2024,REG,1,2,4.0,0,0.0,0.0,0.0,0,0,11.0,0.0,0.0,-5.6870228089392185,0,1.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007962575893301484
00-0029892,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,26.0,1,1.0,1.0,1.0,-7.2900504331919365,0,19,31,200.0,2,0.0,0.0,193.0,93.0,8.0,-0.08475676236146112,0,28.25010486825003,0.9939327731207598,0.703346128494341,1.9832414496271782,0.0,38.6,57.6,14,0.07192575406032482,0.05356647238412434,0.061386138613861385,0.15074180899778672,0.054274084124830396,0.1,0.04790419161676647,0.053475935828877004,0.0771370420624152,0.06341926729986433,0.46403712296983757,0.04585257124661678
00-0030035,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,48,62,615.0,5,0.0,0.0,692.0,152.0,28.0,40.429083193776734,0,9.450610603418246,2.0403137819874573,2.622008899369427,4.895876902539785,0.0,91.5,139.5,10,0.1901840490797546,0.24255169996494919,0.1733181299885975,0.4793174335915913,0.2839335180055402,0.35714285714285715,0.26666666666666666,0.2773109243697479,0.32053818757419866,0.2985753858330036,1.8865030674846626,0.1737365182952649
00-0030061,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,66,91,654.0,7,1.0,0.0,686.0,187.0,38.0,28.876541475512305,2,18.99759813306025,3.0367439129223124,3.092115114932669,6.719596449836337,0.0,111.4,177.4,17,0.17333333333333334,0.1718436873747495,0.0990990990990991,0.3974749498997996,0.16632756866734486,0.2413793103448276,0.19791666666666666,0.20361990950226244,0.20385343950608623,0.1813379170028414,1.2457142857142858,0.11077945272202726
00-0030279,2024,REG,0,1,0.0,0,1.0,0.0,0.0,0,0,14.0,0.0,0.0,-5.911163269076496,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,70,121,744.0,7,1.0,0.0,1115.0,240.0,43.0,23.16483989555049,0,13.138534043433602,3.9753152352731083,4.777649076568629,9.307327206507702,0.0,114.4,184.4,15,0.25366876310272535,0.3005390835579515,0.1476923076923077,0.6209344115004493,0.24676616915422886,0.3888888888888889,0.2925170068027211,0.30303030303030304,0.31782752902155886,0.2751907131011609,1.559748427672956,0.16216691583853665
00-0030431,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,20,30,203.0,0,3.0,1.0,284.0,73.0,12.0,0.9846309969664491,0,9.211095592503307,0.9131768400101755,0.9971248430380422,2.067752650141893,0.0,18.3,38.3,12,0.072992700729927,0.08196248196248196,0.05826017557861133,0.17505903666487607,0.07125307125307126,0.0,0.0851063829787234,0.07792207792207792,0.03562653562653563,0.05700245700245701,0.49391727493917276,0.041353545823615785
00-0030506,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1.0,0,0.0,0.0,0.0,-0.09222689614398405,0,97,133,823.0,3,2.0,1.0,883.0,341.0,46.0,21.573750875772742,0,14.771537866481065,3.7343693051020184,4.033710576953776,8.42515136152067,0.0,98.4,195.4,16,0.2281303602058319,0.23955507325013564,0.1473002159827214,0.5338395989088565,0.20845997973657548,0.11538461538461539,0.21395348837209302,0.2033195020746888,0.16192229756059545,0.18984490686618347,1.411663807890223,0.1352230418956139
00-0030564,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,56,80,610.0,5,1.0,0.0,896.0,109.0,35.0,19.209225964236232,0,11.285996671611127,2.3191714930481973,3.7987275885204985,6.137866551536645,0.0,91.0,147.0,16,0.1384083044982699,0.2279318239633681,0.05816435432230523,0.38995791591809936,0.17144463181562675,0.19230769230769232,0.17676767676767677,0.17857142857142858,0.18187616206165952,0.17561724391403988,1.055363321799308,0.10944666150455656
00-0030565,2024,REG,407,578,4320.0,21,15.0,50.0,338.0,4,0,3996.0,2181.0,209.0,24.594096387796093,0,21.209822271889777,1.9445400955113343,53,272.0,2,4.0,0.0,17.0,1.241315049061086,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,266.0,266.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1815005868064085
00-0030578,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,32,135.0,0,1.0,1.0,7.0,-7.84534724344177,0,12,14,80.0,1,0.0,0.0,42.0,56.0,5.0,-3.486692914913874,0,7.207422969187675,0.46612090866123124,0.21129763922294104,0.8470897104479056,0.0,25.500000000000004,37.5,13,0.035897435897435895,0.014428031604259704,0.042682926829268296,0.06538857912956161,0.02888086642599278,0.0625,0.04132231404958678,0.043795620437956206,0.04569043321299639,0.03560469314079423,0.20512820512820512,0.03802088614011964
